2022-01-03;35.203754;-89.930657;38128;Yes;443
2022-01-03;35.186387;-89.931672;38128;No;1
2022-01-03;35.224207;-89.93943;38128;Yes;3
2022-01-05;35.248495;-89.932933;38128;Yes;4
2022-01-07;35.198483;-89.940203;38128;No;470
2022-01-07;35.224571;-89.921569;38128;Yes;4
2022-01-07;35.239951;-89.935893;38128;No;2
2022-01-07;35.245352;-89.90757;38128;No;18
2022-01-07;35.198483;-89.940203;38128;No;470
2022-01-07;35.201208;-89.938653;38128;No;1
2022-01-10;35.210694;-89.901685;38128;Yes;2
2022-01-10;35.222269;-89.924948;38128;Yes;2
2022-01-10;35.180536;-89.93452;38128;Yes;291
2022-01-11;35.200991;-89.901601;38128;No;499
2022-01-11;35.242112;-89.957135;38128;Yes;2
2022-01-11;35.200669;-89.896738;38128;No;202
2022-01-12;35.194504;-89.909102;38128;Yes;824
2022-01-12;35.195136;-89.911738;38128;No;824
2022-01-12;35.194312;-89.910351;38128;No;824
2022-01-12;35.20519;-89.905436;38128;No;4
2022-01-12;35.242555;-89.956173;38128;Yes;3
2022-01-12;35.194919;-89.910065;38128;Yes;824
2022-01-12;35.239838;-89.944622;38128;No;5
2022-01-12;35.194671;-89.911287;38128;No;824
2022-01-12;35.196962;-89.909212;38128;No;824
2022-01-12;35.194312;-89.910351;38128;No;824
2022-01-12;35.194312;-89.910351;38128;No;824
2022-01-13;35.221467;-89.929281;38128;Yes;10
2022-01-14;35.227329;-89.942412;38128;No;2
2022-01-14;35.24512;-89.909233;38128;No;7
2022-01-18;35.248;-89.905419;38128;No;2
2022-01-18;35.2127;-89.907682;38128;Yes;1
2022-01-18;35.249976;-89.941012;38128;No;422
2022-01-18;35.207964;-89.946688;38128;No;3
2022-01-18;35.24837;-89.940559;38128;No;422
2022-01-19;35.193783;-89.908009;38128;No;1
2022-01-19;35.222443;-89.921646;38128;Yes;1
2022-01-19;35.209408;-89.901722;38128;Yes;2
2022-01-19;35.244142;-89.913468;38128;Yes;1
2022-01-19;35.219717;-89.920215;38128;No;2
2022-01-19;35.256183;-89.925582;38128;Yes;523
2022-01-19;35.257076;-89.925193;38128;Yes;523
2022-01-20;35.255086;-89.937139;38128;No;97
2022-01-20;35.236914;-89.939456;38128;Yes;2
2022-01-20;35.201727;-89.916986;38128;No;1
2022-01-20;35.253187;-89.937538;38128;No;97
2022-01-20;35.25413;-89.937176;38128;No;97
2022-01-20;35.244244;-89.90547;38128;Yes;3
2022-01-21;35.204195;-89.924803;38128;Yes;381
2022-01-21;35.203822;-89.924991;38128;Yes;381
2022-01-21;35.203588;-89.924747;38128;Yes;381
